copado__User_Story__r.Name,copado__User_Story__r.copado__User_Story_Title__c,copado__Metadata_API_Name__c,copado__Type__c,copado__Category__c,copado__Action__c,copado__Status__c,copado__ModuleDirectory__c,copado__Last_Commit_Date__c,copado__JsonInformation__c,copado__Unique_ID__c,CreatedDate,CreatedBy.Name,LastModifiedDate,LastModifiedBy.Name,developer,jira_key
US-0033747,Deployment for QA-214775 - QA-214801,Product2.Liberty Loop Mix More %28PR_B2C_Loop_Mix_More_MB_Line / 1f330049-d2db-4f7a-9e40-f19c4f8ee58e%29,Product2,,,Potential Conflict,,2025-10-14T11:39:48.000+0000,,aC2Pl000000FVOTKA4_Product2.Liberty Loop Mix More %28PR_B2C_Loop_Mix_More_MB_Line / 1f330049-d2db-4f7a-9e40-f19c4f8ee58e%29,2025-10-14T11:39:49.000+0000,Shivani Soni,2025-10-14T11:39:52.000+0000,Shivani Soni,Shivani Soni,QA-214801
US-0033747,Deployment for QA-214775 - QA-214801,Product2.Liberty Loop Mix Max %28PR_B2C_Loop_Mix_Max_MB_Line / 2580bf8d-2cbb-2e30-18c2-799877183283%29,Product2,,,Potential Conflict,,2025-10-14T11:39:48.000+0000,,aC2Pl000000FVOTKA4_Product2.Liberty Loop Mix Max %28PR_B2C_Loop_Mix_Max_MB_Line / 2580bf8d-2cbb-2e30-18c2-799877183283%29,2025-10-14T11:39:49.000+0000,Shivani Soni,2025-10-14T11:39:52.000+0000,Shivani Soni,Shivani Soni,QA-214801
US-0033747,Deployment for QA-214775 - QA-214801,Product2.Liberty Loop Mix Core %28PR_B2C_Loop_Mix_Core_MB_Line / 6d59e1c6-cbf1-1b11-32cd-da21eb4494ab%29,Product2,,,Potential Conflict,,2025-10-14T11:39:48.000+0000,,aC2Pl000000FVOTKA4_Product2.Liberty Loop Mix Core %28PR_B2C_Loop_Mix_Core_MB_Line / 6d59e1c6-cbf1-1b11-32cd-da21eb4494ab%29,2025-10-14T11:39:49.000+0000,Shivani Soni,2025-10-14T11:39:52.000+0000,Shivani Soni,Shivani Soni,QA-214801
