copado__User_Story__r.Name,copado__User_Story__r.copado__User_Story_Title__c,copado__Metadata_API_Name__c,copado__Type__c,copado__Category__c,copado__Action__c,copado__Status__c,copado__ModuleDirectory__c,copado__Last_Commit_Date__c,copado__JsonInformation__c,copado__Unique_ID__c,CreatedDate,CreatedBy.Name,LastModifiedDate,LastModifiedBy.Name,developer,jira_key
US-0033397,Development / SIT Deployment / QA Deployment : SObject row was retrieved via SOQL without querying the requested field: Account.BillingPostalCode - SAL-83717,ApexClass.AriaOrderProductTmfJsonHelperTest,ApexClass,,,Back Promoted,,2025-09-22T16:11:01.000+0000,,aC2Pl000000EVaDKAW_ApexClass.AriaOrderProductTmfJsonHelperTest,2025-09-22T16:11:01.000+0000,Shubham Mehta,2025-10-03T20:13:02.000+0000,eviliardo espinosa,Shubham Mehta,SAL-83717
US-0033397,Development / SIT Deployment / QA Deployment : SObject row was retrieved via SOQL without querying the requested field: Account.BillingPostalCode - SAL-83717,ApexClass.Tmf622JsonAbstractTest,ApexClass,,,Back Promoted,,2025-09-22T16:11:01.000+0000,,aC2Pl000000EVaDKAW_ApexClass.Tmf622JsonAbstractTest,2025-09-22T16:11:01.000+0000,Shubham Mehta,2025-10-03T20:13:02.000+0000,eviliardo espinosa,Shubham Mehta,SAL-83717
US-0033397,Development / SIT Deployment / QA Deployment : SObject row was retrieved via SOQL without querying the requested field: Account.BillingPostalCode - SAL-83717,ApexClass.Tmf622JsonAbstract,ApexClass,,,Back Promoted,,2025-09-22T16:11:01.000+0000,,aC2Pl000000EVaDKAW_ApexClass.Tmf622JsonAbstract,2025-09-22T16:11:01.000+0000,Shubham Mehta,2025-10-03T20:13:02.000+0000,eviliardo espinosa,Shubham Mehta,SAL-83717
US-0033397,Development / SIT Deployment / QA Deployment : SObject row was retrieved via SOQL without querying the requested field: Account.BillingPostalCode - SAL-83717,ApexClass.AriaOrderProductTmfJsonHelper,ApexClass,,,Back Promoted,,2025-09-22T16:11:01.000+0000,,aC2Pl000000EVaDKAW_ApexClass.AriaOrderProductTmfJsonHelper,2025-09-22T16:11:01.000+0000,Shubham Mehta,2025-10-03T20:13:02.000+0000,eviliardo espinosa,Shubham Mehta,SAL-83717
