copado__User_Story__r.Name,copado__User_Story__r.copado__User_Story_Title__c,copado__Metadata_API_Name__c,copado__Type__c,copado__Category__c,copado__Action__c,copado__Status__c,copado__ModuleDirectory__c,copado__Last_Commit_Date__c,copado__JsonInformation__c,copado__Unique_ID__c,CreatedDate,CreatedBy.Name,LastModifiedDate,LastModifiedBy.Name,developer,jira_key
US-0033648,Connectionfee based on Booststoreid - SAL-84367,ApexClass.PR_BoostStoreValidator_cls,ApexClass,,,,,2025-10-07T18:59:08.000+0000,,aC2Pl000000FDMkKAO_ApexClass.PR_BoostStoreValidator_cls,2025-10-07T18:59:08.000+0000,nandhini govindasamy,2025-10-07T18:59:08.000+0000,nandhini govindasamy,nandhini govindasamy,SAL-84367
US-0033648,Connectionfee based on Booststoreid - SAL-84367,OmniScript.PR_CreatePrepaidConnection_English,OmniScript,,,Auto-resolved,,2025-10-07T18:59:08.000+0000,,aC2Pl000000FDMkKAO_OmniScript.PR_CreatePrepaidConnection_English,2025-10-07T18:59:08.000+0000,nandhini govindasamy,2025-10-14T15:26:04.000+0000,eviliardo espinosa,nandhini govindasamy,SAL-84367
US-0033648,Connectionfee based on Booststoreid - SAL-84367,DataRaptor.PR_GetBoostNonBoostPlansActivation,DataRaptor,,,,,2025-10-07T18:59:08.000+0000,,aC2Pl000000FDMkKAO_DataRaptor.PR_GetBoostNonBoostPlansActivation,2025-10-07T18:59:08.000+0000,nandhini govindasamy,2025-10-07T18:59:08.000+0000,nandhini govindasamy,nandhini govindasamy,SAL-84367
US-0033648,Connectionfee based on Booststoreid - SAL-84367,OmniScript.PR_MobileExistingPrepaidAdd_English,OmniScript,,,Auto-resolved,,2025-10-07T18:59:08.000+0000,,aC2Pl000000FDMkKAO_OmniScript.PR_MobileExistingPrepaidAdd_English,2025-10-07T18:59:08.000+0000,nandhini govindasamy,2025-10-14T15:26:04.000+0000,eviliardo espinosa,nandhini govindasamy,SAL-84367
US-0033637,Development / SIT Deployment / QA Deployment - QA-211993,LightningComponentBundle.prInvoiceImpactLwc,LightningComponentBundle,,,Auto-resolved,,2025-10-08T00:47:12.000+0000,,aC2Pl000000FCX7KAO_LightningComponentBundle.prInvoiceImpactLwc,2025-10-08T00:47:12.000+0000,Shivani Soni,2025-10-14T17:49:19.000+0000,eviliardo espinosa,Shivani Soni,QA-211993
US-0033637,Development / SIT Deployment / QA Deployment - QA-211993,ApexClass.PR_InvoiceImpactService_Test,ApexClass,,,Auto-resolved,,2025-10-08T00:47:12.000+0000,,aC2Pl000000FCX7KAO_ApexClass.PR_InvoiceImpactService_Test,2025-10-08T00:47:12.000+0000,Shivani Soni,2025-10-14T17:49:19.000+0000,eviliardo espinosa,Shivani Soni,QA-211993
US-0033637,Development / SIT Deployment / QA Deployment - QA-211993,ApexClass.PR_InvoiceImpactService,ApexClass,,,Auto-resolved,,2025-10-08T00:47:12.000+0000,,aC2Pl000000FCX7KAO_ApexClass.PR_InvoiceImpactService,2025-10-08T00:47:12.000+0000,Shivani Soni,2025-10-14T17:49:19.000+0000,eviliardo espinosa,Shivani Soni,QA-211993
US-0033636,Development / SIT Deployment / QA Deployment : Get Call ARIA Phase Enhancement- to check Billing group status || duplicate plan instance client defined id. - SAL-84322,OrchestrationDependencyDefinition.Sync Plan Info From ARIA -- Order Propagation ARIA Post (Quick Upgrade Pro) (55380955-0f8e-8f75-4eef-c64266ce20c9),OrchestrationDependencyDefinition,,,,,2025-10-08T06:34:51.000+0000,,aC2Pl000000FC8wKAG_OrchestrationDependencyDefinition.Sync Plan Info From ARIA -- Order Propagation ARIA Post (Quick Upgrade Pro) (55380955-0f8e-8f75-4eef-c64266ce20c9),2025-10-08T06:34:51.000+0000,Shubham Mehta,2025-10-08T06:34:51.000+0000,Shubham Mehta,Shubham Mehta,SAL-84322
US-0033636,Development / SIT Deployment / QA Deployment : Get Call ARIA Phase Enhancement- to check Billing group status || duplicate plan instance client defined id. - SAL-84322,OrchestrationDependencyDefinition.Sync Plan Info From ARIA -- Order Propagation ARIA (Quick Upgrade Pro) (96b2ded1-3694-ade2-d3e3-5bc376b4b843),OrchestrationDependencyDefinition,,,,,2025-10-08T06:34:51.000+0000,,aC2Pl000000FC8wKAG_OrchestrationDependencyDefinition.Sync Plan Info From ARIA -- Order Propagation ARIA (Quick Upgrade Pro) (96b2ded1-3694-ade2-d3e3-5bc376b4b843),2025-10-08T06:34:51.000+0000,Shubham Mehta,2025-10-08T06:34:51.000+0000,Shubham Mehta,Shubham Mehta,SAL-84322
US-0033636,Development / SIT Deployment / QA Deployment : Get Call ARIA Phase Enhancement- to check Billing group status || duplicate plan instance client defined id. - SAL-84322,Product2.Account Level MPI (PR_B2C_Mobile_Account_Level_MPI_CFS / fcb61586-0477-3159-6a96-d256374712ba),Product2,,,Potential Conflict,,2025-10-08T06:34:51.000+0000,,aC2Pl000000FC8wKAG_Product2.Account Level MPI (PR_B2C_Mobile_Account_Level_MPI_CFS / fcb61586-0477-3159-6a96-d256374712ba),2025-10-08T06:34:51.000+0000,Shubham Mehta,2025-10-10T14:32:36.000+0000,Shivani Soni,Shubham Mehta,SAL-84322
